,country,year,persons_prosecuted,Adult_victims,child_victims,gdp,policy_index,females_education,life_expectancy,unemployment,internet_penet,connected_dev
61,indonesia,2007,88,334,150,4.32E+11,12,48.0562,62,9.100000381,5.786274729,42258824
62,israel,2003,20,0,0,1.19E+11,9,48.65281,69,10.69999981,19.59339366,5928772
63,israel,2004,37,119,0,1.27E+11,10,48.72566,69,10.39999962,22.77048553,5928772
64,israel,2005,31,105,0,1.34E+11,11,48.79162,69,9,25.19404242,5928772
65,israel,2006,29,84,0,1.51E+11,12,48.86269,69,8.399999619,27.88107446,5928772
66,japan,2003,41,83,0,4.30E+12,9,48.79416,73,5.199999809,48.43526589,109252912
67,japan,2004,58,77,0,4.66E+12,10,48.78129,73,4.699999809,62.39392963,109252912
68,japan,2005,83,117,0,4.57E+12,13,48.79869,73,4.400000095,66.9210661,109252912
69,japan,2006,78,58,0,4.36E+12,11,48.80791,73,4.099999905,68.68527032,109252912
70,kazakhstan,2003,6,0,0,30833692831,10,48.8538,60,8.800000191,2.000414753,9850123
71,kazakhstan,2004,3,0,0,43151647003,11,48.80483,60,8.399999619,2.650394657,9850123
72,kazakhstan,2005,2,10,3,57123671734,9,48.78757,60,8.100000381,2.961707492,9850123
73,kazakhstan,2006,11,13,6,81003864916,9,48.84478,60,7.800000191,3.268369051,9850123
74,kazakhstan,2007,0,11,6,1.05E+11,10,48.80646,60,7.300000191,4.02,9850123
75,kyrgyzstan,2005,3,114,6,2459876152,10,48.88707,58,9.899999619,3.908766268,1359416
76,kyrgyzstan,2006,7,95,9,2834168889,9,48.9781,58,8.5,5.090385307,1359416
77,kyrgyzstan,2003,0,131,3,1919012781,10,48.74089,58,8.300000191,10.53380134,1359416
78,kyrgyzstan,2004,0,119,2,2211535312,10,48.77952,58,8.199999809,12.306907,1359416
79,Lao PDR,2003,0,0,81,2023324407,7,45.64949,53,2.099999905,0.333912466,0
80,Lao PDR,2004,0,0,66,2366398120,9,45.91846,53,2.400000095,0.36143449,0
81,Lao PDR,2005,0,0,243,2735550177,8,45.97927,53,1.399999976,0.85035749,0
82,Lao PDR,2006,0,0,259,3452895836,10,46.10604,53,1.399999976,1.169893428,0
83,malaysia,2003,31,0,0,1.10E+11,8,48.59518,71,3.599999905,34.97115234,675074
84,malaysia,2004,73,0,0,1.25E+11,8,48.58656,71,3.5,42.25226563,675074
85,malaysia,2005,34,0,0,1.44E+11,7,48.58152,71,3.5,48.62917025,675074
86,malaysia,2006,35,0,0,1.63E+11,6,48.55223,71,3.299999952,51.63798899,675074
87,moldova,2003,173,173,15,1980901554,9,48.68409,63,7.900000095,7.407544584,1550925
88,moldova,2004,238,238,41,2598231467,9,48.64588,63,8.100000381,10.62939084,1550925
89,moldova,2005,239,239,53,2988172424,10,48.47659,63,7.300000191,14.63027046,1550925
90,moldova,2006,243,251,47,3408454198,8,48.55167,63,7.400000095,19.62064771,1550925
91,mongolia,2003,0,0,0,1595297301,0,49.60448,55,6.800000191,0,514254
92,mongolia,2004,1,5,0,1992066759,7,49.36538,55,7.400000095,0,514254
93,mongolia,2005,4,21,0,2523359941,10,49.49981,55,7.400000095,0,514254
94,mongolia,2006,9,20,0,3414053251,10,49.52168,55,6.400000095,0,514254
95,mongolia,2007,16,31,0,4234894168,9,49.42532,55,7.199999809,9,514254
96,morocco,2003,15,21,0,49822651702,10,46.44024,61,11.89999962,3.353366681,20207154
97,morocco,2004,16,12,0,56948015336,10,46.47576,61,10.80000019,11.60793477,20207154
98,morocco,2005,20,13,0,59523857868,12,46.35572,61,11,15.08444452,20207154
99,morocco,2006,37,21,0,65637107776,10,46.29177,61,9.699999809,19.77119157,20207154
100,Myanmar,2003,0,932,0,0,7,49.67162,57,4.099999905,0.024064149,624991
101,Myanmar,2004,0,1157,0,0,5,49.70253,57,4,0.024337392,624991
102,Myanmar,2005,0,824,0,0,7,49.85957,57,4,0.065238856,624991
103,Myanmar,2006,0,1370,0,0,7,49.57252,57,4,0.182048331,624991
104,Myanmar,2007,0,690,0,0,10,49.62901,57,4,0.217128445,624991
105,nicaragua,2004,14,0,12,5795568203,9,48.58767,64,8,1.880412532,891675
106,nicaragua,2005,11,10,22,6322582497,9,48.41639,64,6.699999809,2.320664609,891675
107,nicaragua,2006,6,29,40,6786340353,10,48.40334,64,5.599999905,2.566351177,891675
108,nicaragua,2007,15,61,29,7458167331,10,48.49249,64,5.300000191,2.805573063,891675
109,nicaragua,2003,0,0,14,5322437648,8,48.40334,64,5,3.9,891675
110,panama,2004,5,0,0,14179300000,9,48.25597,77,11.69999981,11.14086254,1899892
111,panama,2005,7,0,0,15464700000,10,48.20064,77,9.800000191,11.48400928,1899892
112,panama,2006,5,0,0,17137000000,11,48.25916,77,8.699999809,17.34956617,1899892
113,panama,2007,14,0,0,21121900000,10,48.26234,77,6.400000095,22.29,1899892
114,Philippines,2004,0,85,135,91371236939,12,48.54331,69,11.89999962,5.243628452,39470845
115,Philippines,2005,0,112,102,1.03E+11,12,48.61233,69,7.699999809,5.397636329,39470845
116,Philippines,2006,0,38,146,1.22E+11,14,48.52605,69,8,5.740586325,39470845
117,Philippines,2007,0,155,204,1.49E+11,14,48.49818,69,7.400000095,5.97,39470845
118,qatar,2003,0,0,140,23533790531,5,48.31586,75,1.100000024,19.24233642,2191866
119,qatar,2004,0,0,17,31734065019,5,48.49046,75,1.5,20.70164785,2191866
120,qatar,2005,0,1,47,44530493222,5,48.68197,75,1.200000048,24.73349378,2191866
121,qatar,2006,0,1,7,60882141103,8,48.7896,75,0.899999976,28.97411271,2191866
122,russia,2006,106,584,0,9.90E+11,12,48.86224,61,7.099999905,18.02327746,84437793
123,russia,2007,112,655,0,1.30E+12,10,48.80622,61,6,24.66,84437793
124,South Korea,2005,48,0,0,8.98E+11,14,47.19419,73,3.700000048,73.5,45314248
125,South Korea,2006,43,0,0,1.01E+12,15,47.39819,73,3.400000095,78.1,45314248
126,taikistan,2004,11,0,0,1554125543,9,47.98441,56,11.89999962,0.077479907,1357400
127,taikistan,2005,48,142,9,2076148710,11,48.17149,56,11.69999981,0.298690024,1357400
128,taikistan,2006,47,70,12,2312319579,11,47.9513,56,11.69999981,3.772406207,1357400
129,thailand,2005,8,270,614,1.76E+11,11,48.14422,75,1.299999952,15.02600436,19386154
130,thailand,2006,22,127,416,2.07E+11,12,48.40894,75,1.200000048,17.16071472,19386154
131,uganda,2006,18,120,182,9942597753,8,49.26726,49,2.5,0.71997068,6523949
132,uganda,2007,3,65,37,12292813801,7,49.39975,49,2,1.742205503,6523949
133,uganda,2004,0,84,0,7940362663,8,49.57601,49,2,2.529363038,6523949
134,uganda,2005,0,172,0,9013834490,8,49.84839,49,2.099999905,3.671965351,6523949
135,ukraine,2003,53,198,0,50132953288,11,48.72498,63,9.100000381,3.148127588,16849008
136,ukraine,2004,69,377,15,64883060726,9,48.59818,63,8.600000381,3.489477881,16849008
137,ukraine,2005,115,446,39,86142018069,12,48.64787,63,7.199999809,3.749764415,16849008
138,ukraine,2006,86,393,52,1.08E+11,10,48.64945,63,6.800000191,4.506124564,16849008
139,United Arab Emirate,2003,7,6,0,1.24E+11,9,48.27999,74,2.700000048,29.47795341,8807226
140,United Arab Emirate,2004,21,36,3,1.48E+11,7,48.34251,74,2.900000095,30.13129617,8807226
141,United Arab Emirate,2005,21,24,3,1.81E+11,9,48.49452,74,3.099999905,40,8807226
142,United Arab Emirate,2006,5,1,0,2.22E+11,8,48.54754,74,3.299999952,52,8807226
143,United Arab Emirate,2007,0,5,1,2.58E+11,10,48.51391,74,3.400000095,61,8807226
144,USA,2003,27,145,6,1.15E+13,15,48.85524,77,6.099999905,61.69711712,279834232
145,USA,2004,47,147,16,1.23E+13,15,48.69113,77,5.599999905,64.75825648,279834232
146,USA,2005,96,197,34,1.31E+13,15,48.54675,77,5.199999809,67.96805292,279834232
147,USA,2006,111,214,20,1.39E+13,15,49.02832,77,4.699999809,68.93119327,279834232
148,USA,2007,89,270,33,1.45E+13,15,48.77352,77,4.699999809,75,279834232
149,uzbekistan,2003,96,139,0,10128112401,10,48.95697,66,11.30000019,1.912595178,11914665
150,uzbekistan,2004,189,217,0,12030023548,9,48.70204,66,11.39999962,2.593725421,11914665
151,uzbekistan,2005,176,393,0,14307509839,9,48.64689,66,11.39999962,3.343509888,11914665
152,uzbekistan,2006,181,584,0,17030896203,8,48.63488,66,11.39999962,6.388321967,11914665
153,Viet Nam,2003,208,0,0,42717072778,9,47.49267,70,2.299999952,3.780280814,39772424
154,Viet Nam,2004,175,0,0,49424107710,11,47.32154,70,2.099999905,7.642408528,39772424
155,Viet Nam,2005,182,0,0,57633255739,11,47.47631,70,2.099999905,12.73992929,39772424
156,Viet Nam,2006,182,0,0,66371664817,11,47.90538,70,2.299999952,17.25456172,39772424
157,Viet Nam,2007,297,0,0,77414425532,13,47.80038,70,2.299999952,20.75544477,39772424
