country,year,persons_prosecuted,Adult_victims,child_victims,gdp,policy_index,females_education,life_expectancy
India,2003,9.790934566,0,0,27.15033094,2.397895273,3.867501468,4.143134726
India,2004,9.922848906,0,0,27.30471686,2.564949357,3.86976039,4.143134726
india,2005,10.04559457,0,0,27.44975702,2.302585093,3.883466523,4.143134726
India,2006,10.15987244,0,0,27.57879767,2.397895273,3.889516013,4.143134726
indonesia,2003,4.48863637,81,3.044522438,26.18188262,2.302585093,3.905574056,4.143134726
indonesia,2004,3.433987204,103,0,26.27170703,2.397895273,3.906455134,4.143134726
indonesia,2005,3.33220451,125,2.944438979,26.37879814,2.302585093,3.897112393,4.143134726
indonesia,2006,4.077537444,496,4.86753445,26.62198586,2.302585093,3.896644155,4.143134726
indonesia,2007,4.48863637,334,5.017279837,26.79219301,2.564949357,3.89296658,4.143134726
israel,2003,3.044522438,0,0,25.49964004,2.302585093,3.905054985,4.248495242
israel,2004,3.63758616,119,0,25.56407062,2.397895273,3.906521098,4.248495242
israel,2005,3.465735903,105,0,25.62079963,2.48490665,3.907846697,4.248495242
israel,2006,3.401197382,84,0,25.74045013,2.564949357,3.909273028,4.248495242
japan,2003,3.737669618,83,0,29.09031944,2.302585093,3.907897708,4.304065093
japan,2004,4.077537444,77,0,29.16913553,2.397895273,3.907639211,4.304065093
japan,2005,4.430816799,117,0,29.15094276,2.63905733,3.907988678,4.304065093
japan,2006,4.369447852,58,0,29.10274743,2.48490665,3.908173807,4.304065093
kazakhstan,2003,1.945910149,0,0,24.15187385,2.397895273,3.909094722,4.110873864
kazakhstan,2004,1.386294361,0,0,24.48798642,2.48490665,3.908111967,4.110873864
kazakhstan,2005,1.098612289,10,1.386294361,24.76848443,2.302585093,3.907765354,4.110873864
kazakhstan,2006,2.48490665,13,1.945910149,25.11776271,2.302585093,3.908913777,4.110873864
kazakhstan,2007,0,11,1.945910149,25.37579551,2.397895273,3.908144694,4.110873864
kyrgyzstan,2005,1.386294361,114,1.945910149,21.62337684,2.397895273,3.909761851,4.077537444
kyrgyzstan,2006,2.079441542,95,2.302585093,21.76501457,2.302585093,3.911584909,4.077537444
kyrgyzstan,2003,0,131,1.386294361,21.37507671,2.397895273,3.906827331,4.077537444
kyrgyzstan,2004,0,119,1.098612289,21.51695282,2.397895273,3.907603654,4.077537444
Lao PDR,2003,0,0,4.406719247,21.42800774,2.079441542,3.842661995,3.988984047
Lao PDR,2004,0,0,4.204692619,21.58463486,2.302585093,3.848411201,3.988984047
Lao PDR,2005,0,0,5.497168225,21.72959841,2.197224577,3.849706441,3.988984047
Lao PDR,2006,0,0,5.560681631,21.96247909,2.397895273,3.852401231,3.988984047
malaysia,2003,3.465735903,0,0,25.42558423,2.197224577,3.903893652,4.276666119
