country,year,person_prosecuted,Adult_victims,child_victims,gdp,policy_index,females_in_primary_education,life_expectancy,unemployment_rate,internet_users
Myanmar,2007,0,690,0,0,10,49.62901,57,4,
nicaragua,2003,0,0,14,5322437648,8,48.40334,64,8,
nicaragua,2004,14,0,12,5795568203,9,48.58767,64,6.699999809,
nicaragua,2005,11,10,22,6322582497,9,48.41639,64,5.599999905,
nicaragua,2006,6,29,40,6786340353,10,48.40334,64,5.300000191,
nicaragua,2007,15,61,29,7458167331,10,48.49249,64,5,
panama,2004,5,0,0,14179300000,9,48.25597,77,11.69999981,
panama,2005,7,0,0,15464700000,10,48.20064,77,9.800000191,
panama,2006,5,0,0,17137000000,11,48.25916,77,8.699999809,
panama,2007,14,0,0,21121900000,10,48.26234,77,6.400000095,
Philippines,2004,0,85,135,91371236939,12,48.54331,69,11.89999962,
Philippines,2005,0,112,102,1.03E+11,12,48.61233,69,7.699999809,
Philippines,2006,0,38,146,1.22E+11,14,48.52605,69,8,
Philippines,2007,0,155,204,1.49E+11,14,48.49818,69,7.400000095,
qatar,2003,0,0,140,23533790531,5,48.31586,75,1.100000024,
qatar,2004,0,0,17,31734065019,5,48.49046,75,1.5,
qatar,2005,0,1,47,44530493222,5,48.68197,75,1.200000048,
qatar,2006,0,1,7,60882141103,8,48.7896,75,0.899999976,
russia,2006,106,584,0,9.90E+11,12,48.86224,61,7.099999905,
russia,2007,112,655,0,1.30E+12,10,48.80622,61,6,
South Korea,2005,48,0,0,8.98E+11,14,47.19419,73,3.700000048,
South Korea,2006,43,0,0,1.01E+12,15,47.39819,73,3.400000095,
taikistan,2004,11,0,0,1554125543,9,47.98441,56,11.89999962,
taikistan,2005,48,142,9,2076148710,11,48.17149,56,11.69999981,
taikistan,2006,47,70,12,2312319579,11,47.9513,56,11.69999981,
thailand,2005,8,270,614,1.76E+11,11,48.14422,75,1.299999952,
thailand,2006,22,127,416,2.07E+11,12,48.40894,75,1.200000048,
uganda,2004,0,84,0,7940362663,8,49.57601,49,2.5,
uganda,2005,0,172,0,9013834490,8,49.84839,49,2,
uganda,2006,18,120,182,9942597753,8,49.26726,49,2,
uganda,2007,3,65,37,12292813801,7,49.39975,49,2.099999905,
ukraine,2003,53,198,,50132953288,11,48.72498,63,9.100000381,
ukraine,2004,69,377,15,64883060726,9,48.59818,63,8.600000381,
ukraine,2005,115,446,39,86142018069,12,48.64787,63,7.199999809,
ukraine,2006,86,393,52,1.08E+11,10,48.64945,63,6.800000191,
United Arab Emirate,2003,7,6,0,1.24E+11,9,48.27999,74,2.700000048,
United Arab Emirate,2004,21,36,3,1.48E+11,7,48.34251,74,2.900000095,
United Arab Emirate,2005,21,24,3,1.81E+11,9,48.49452,74,3.099999905,
United Arab Emirate,2006,5,1,0,2.22E+11,8,48.54754,74,3.299999952,
United Arab Emirate,2007,0,5,1,2.58E+11,10,48.51391,74,3.400000095,
USA,2003,27,145,6,1.15E+13,15,48.85524,77,6.099999905,
USA,2004,47,147,16,1.23E+13,15,48.69113,77,5.599999905,
USA,2005,96,197,34,1.31E+13,15,48.54675,77,5.199999809,
USA,2006,111,214,20,1.39E+13,15,49.02832,77,4.699999809,
USA,2007,89,270,33,1.45E+13,15,48.77352,77,4.699999809,
uzbekistan,2003,96,139,0,10128112401,10,48.95697,66,11.30000019,
uzbekistan,2004,189,217,0,12030023548,9,48.70204,66,11.39999962,
uzbekistan,2005,176,393,0,14307509839,9,48.64689,66,11.39999962,
uzbekistan,2006,181,584,0,17030896203,8,48.63488,66,11.39999962,
Viet Nam,2003,208,0,0,42717072778,9,47.49267,70,2.299999952,
Viet Nam,2004,175,0,0,49424107710,11,47.32154,70,2.099999905,
Viet Nam,2005,182,0,0,57633255739,11,47.47631,70,2.099999905,
Viet Nam,2006,182,0,0,66371664817,11,47.90538,70,2.299999952,
Viet Nam,2007,297,0,0,77414425532,13,47.80038,70,2.299999952,
